Correct	Predict
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
5	[ 4.19067383]
